14_0_0-,565,448,15,23
11_1_0-,233,452,31,25
11_1_3-,332,452,31,25
13_1_1-,439,452,32,33
11_1_1-,267,453,31,24
11_1_2-,299,453,32,24
13_1_0-,405,457,33,28
15_1_0-,603,458,17,46
15_1_1-,633,458,20,45
12_1_0-,376,459,20,23
15_1_2-,661,460,24,43
13_1_2-,478,463,36,22
16_1_2-,760,470,26,39
16_1_0-,697,471,25,40
16_1_1-,729,471,25,39
10_1_1-,136,475,29,40
10_1_0-,104,476,23,39
9_1_3-,76,477,19,38
10_1_2-,167,478,28,37
11_2_0-,233,478,17,32
9_1_0-,5,479,19,35
9_1_2-,52,479,19,34
11_2_1-,267,479,17,31
11_2_3-,332,479,20,31
9_1_1-,29,480,19,33
11_2_2-,299,480,19,30
10_1_3-,196,481,28,34
13_2_1-,439,486,16,39
14_1_0-,563,486,19,23
13_2_0-,405,488,21,37
12_2_0-,376,492,18,29
13_2_2-,478,494,24,31
15_2_2-,666,512,15,48
16_2_0-,697,512,29,41
16_2_1-,729,512,28,41
15_2_1-,634,513,14,47
16_2_2-,761,513,26,41
9_2_2-,51,516,21,37
9_2_3-,74,516,21,39
10_2_0-,104,516,27,39
9_2_0-,3,517,20,35
9_2_1-,27,517,19,34
10_2_1-,136,518,30,37
14_2_0-,561,518,20,19
15_2_0-,602,519,17,42
10_2_2-,167,521,28,34
10_2_3-,196,526,26,29
12_3_0-,374,526,18,31
16_3_0-,701,555,21,43
9_3_1-,27,556,19,40
9_3_2-,51,556,19,41
9_3_3-,74,556,20,43
16_3_1-,733,556,19,43
16_3_2-,763,556,19,43
9_3_0-,3,557,19,40
10_3_0-,105,557,19,38
10_3_1-,136,559,19,40
12_4_0-,372,559,19,29
14_3_0-,564,559,18,22
15_3_2-,668,562,21,46
15_3_0-,602,565,26,42
15_3_1-,635,565,25,42
10_3_2-,167,567,22,32
10_3_3-,196,570,23,29
14_4_0-,565,598,12,24
9_4_0-,6,600,19,42
9_4_1-,29,600,20,42
9_4_2-,50,600,21,40
9_4_3-,74,600,19,42
10_4_0-,104,600,20,39
12_5_0-,371,600,18,31
16_4_0-,701,600,18,47
16_4_1-,731,601,20,46
16_4_2-,761,602,20,45
10_4_1-,136,608,21,38
15_4_0-,601,609,28,41
15_4_1-,634,609,28,39
15_4_2-,666,609,29,40
10_4_2-,167,614,20,32
10_4_3-,196,616,19,30
14_5_0-,565,634,18,22
12_6_0-,371,641,18,29
9_5_1-,27,648,19,40
9_5_2-,52,648,19,41
9_5_3-,77,648,20,43
9_5_0-,2,649,19,40
10_5_0-,107,650,19,38
10_5_1-,140,652,19,40
16_5_0-,700,654,21,43
16_5_1-,733,655,19,43
16_5_2-,761,655,19,43
15_5_2-,666,657,21,46
10_5_3-,198,659,23,29
10_5_2-,168,660,22,32
15_5_0-,595,660,26,42
15_5_1-,633,660,25,42
14_6_0-,566,666,20,19
12_7_0-,368,680,20,23
9_6_2-,52,696,21,37
9_6_3-,78,696,21,39
9_6_0-,2,697,20,35
9_6_1-,29,697,19,34
10_6_0-,105,697,27,39
14_7_0-,565,697,19,23
10_6_1-,136,698,30,37
10_6_2-,171,701,28,34
10_6_3-,207,705,26,29
16_6_0-,695,705,29,41
16_6_1-,727,705,28,41
16_6_2-,760,705,26,41
15_6_2-,671,707,15,48
15_6_1-,640,708,14,47
15_6_0-,604,714,17,42
9_7_3-,79,739,19,38
9_7_0-,3,741,19,35
9_7_2-,53,741,19,34
9_7_1-,29,742,19,33
10_7_1-,141,751,29,40
10_7_0-,114,752,23,39
10_7_3-,213,754,28,34
10_7_2-,176,755,28,37
16_7_2-,760,755,26,39
16_7_0-,698,756,25,40
16_7_1-,730,756,25,39
15_7_0-,604,759,17,46
15_7_1-,635,760,20,45
15_7_2-,667,762,24,43
